kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Bone,Kahu,2016,15631,98397,"62,94990724"
Ngawi,Kendal,2019,5802,36539,"62,97655981"
Ngawi,Ngawi,2024,8989,56610,"62,97697185"
Ngawi,Paron,2023,16578,104421,"62,98769453"
Ngawi,Jogorogo,2019,6016,37916,"63,02526596"
Ngawi,Karangjati,2022,7892,49741,"63,02711607"
Ngawi,Kasreman,2023,3250,20484,"63,02769231"
Ngawi,Pitu,2018,1782,11240,"63,07519641"
Ngawi,Kasreman,2018,3442,21712,"63,07960488"
Ngawi,Widodaren,2018,12670,79937,"63,09155485"
Ngawi,Pangkur,2019,4533,28604,"63,10169865"
Ngawi,Padas,2019,6101,38499,"63,10277004"
Ngawi,Kasreman,2019,2705,17073,"63,11645102"
Ngawi,Karangjati,2019,5994,37842,"63,13313313"
Ngawi,Karangjati,2018,6122,38651,"63,13459654"
Ngawi,Gerih,2019,5200,32835,"63,14423077"
Ngawi,Mantingan,2018,6930,43759,"63,14430014"
Ngawi,Sine,2019,5901,37276,"63,16895441"
Ngawi,Ngawi,2019,9024,57022,"63,18927305"
Ngawi,Kwadungan,2018,5934,37501,"63,19683182"
Ngawi,Pitu,2019,1786,11288,"63,20268757"
Ngawi,Kasreman,2021,3133,19804,"63,21097989"
Indramayu,Arahan,2017,4918,31089,"63,21472143"
Ngawi,Mantingan,2019,6727,42527,"63,21837372"
Ngawi,Pangkur,2018,4680,29602,"63,25213675"
Ngawi,Widodaren,2019,12801,80988,"63,26693227"
Ngawi,Ngrambe,2019,7552,47806,"63,30243644"
Ngawi,Kwadungan,2019,5925,37530,"63,34177215"
Ngawi,Kasreman,2024,3369,21342,"63,34817453"
Ngawi,Ngawi,2025,9591,60758,"63,348973"
Ngawi,Pangkur,2022,6718,42559,"63,35069961"
Ngawi,Geneng,2019,9910,62793,"63,36326942"
Ngawi,Karangjati,2017,6980,44246,"63,38968481"
Ngawi,Jogorogo,2020,5529,35050,"63,39301863"
Ngawi,Paron,2017,16241,102970,"63,40126839"
Bone,Lamuru,2022,3926,24910,"63,44880285"
Ngawi,Bringin,2022,3674,23326,"63,48938487"
Ngawi,Padas,2022,7083,44973,"63,49428208"
Ngawi,Kedunggalar,2022,14524,92250,"63,51556045"
Ngawi,Padas,2021,7541,47911,"63,53401406"
Ngawi,Bringin,2019,3230,20528,"63,55417957"
